"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.294444444444445,0.0162794607783171,18.0868671545081,2.99367266381223e-51
"2","rZPC1",0.00102426105334907,0.000399024246021642,2.56691432553579,0.0107025774552654
"3","rZPC2",0.00396084049552679,0.000453435734535725,8.73517500684483,1.25614806004235e-16
"4","rZPC3",-0.000366559723218553,0.000569361133309554,-0.643808826724495,0.520147947478628
"5","rZPC4",0.00257434524333152,0.000668455256537243,3.85118557772623,0.000141273435585117
"6","rZPC5",0.00111720812601032,0.00070855785327187,1.57673522472646,0.115817484377051
"7","rZPC6",0.00356351950594578,0.000920870439182796,3.86972950191358,0.000131382142331305
"8","rZPC7",-0.00283921629941507,0.00103397582430045,-2.74592135781897,0.00636596023572069
"9","rZPC8",-0.00200718173679043,0.00107253872135529,-1.87143055707499,0.062172692455283
"10","rZPC9",0.00365267390767345,0.00111600966990683,3.2729769339529,0.00117725300966168
"11","rZPC10",0.00622820641969971,0.00115334890855933,5.40010605071755,1.27863308586308e-07
"12","rZPC11",-0.00038855490396091,0.00134667659116984,-0.288528742913231,0.773123728900777
"13","rZPC12",0.000193936836462043,0.00139838269914016,0.138686524498116,0.889782716298988
"14","rZPC13",0.00575448527066118,0.00148472924504467,3.87578091417473,0.000128298786831397
"15","rZPC14",0.00302595867827778,0.00154164526377069,1.96281125716082,0.0505103965374938
"16","rZPC15",-0.00593985970450141,0.00160023466720844,-3.71186790676353,0.000241525270990816
"17","rZPC16",0.00801317222502126,0.00164318044041262,4.87662342366311,1.6830867737517e-06
"18","rZPC17",0.0119608982546722,0.00169175445206621,7.0701148385121,9.32753968336996e-12
"19","rZPC18",-0.00514478639142472,0.00178455344283017,-2.88295450724382,0.0041988900098889
"20","rZPC19",0.00814745617150795,0.00182563506613116,4.4628065721666,1.112479715141e-05
"21","rZPC20",0.0129450947060781,0.00191080712306097,6.77467367053826,5.76091823664528e-11
"22","rZPC21",0.0138361545831979,0.00193260200173151,7.15933988001742,5.3248826138454e-12
"23","rZPC22",-0.00544126405897445,0.0020439355332292,-2.66215052799529,0.0081456760379509
"24","rZPC23",0.0022889099356193,0.00208436090075617,1.09813513331061,0.27294849392156
"25","rZPC24",-0.00344583641501443,0.00213581826682751,-1.61335656152655,0.107625780885978
"26","rZPC25",0.00487505488410152,0.00220569537741552,2.21021222332785,0.0277783464543358
"27","rZPC26",-0.00201755093929498,0.0022277109475392,-0.905661006659609,0.36577807016472
"28","rZPC27",-0.00347400762904441,0.00225826475831951,-1.53835267377134,0.12492358333525
"29","rZPC28",0.00434040417476014,0.00229964129783645,1.88742660816001,0.0599829904334118
"30","rZPC29",-0.00804935921558074,0.00233515896867615,-3.44702837089677,0.000640371274754069
"31","rZPC30",-0.0111591989497092,0.00237598910934218,-4.69665408222292,3.88999291189416e-06
